Config,W18 Baseline,"W18 Simpler (16,8)",W18 best dropout,W18 best p,W19 p=0.0 (complex),W19 best dropout,W19 best p
Heston+NN Indep,2.003645937500363,2.1852660733047666,2.2331274744323815,0.1,1.9497909399140017,1.9497909399140017,0.0
Heston+NN Seq,2.0313105667815927,1.9573460133882905,2.6212702023397423,0.2,1.9943241617924607,1.945023192057942,0.02
HestonFeature Seq,2.5850741052990176,2.4529192852052013,3.285857567758032,0.1,2.6824377850155443,2.3965843628675416,0.02
