Model,Paper IS SD,Ours IS SD,Paper OOS SD,Ours OOS SD,Paper OOS 1d,Ours OOS 1d
BS+NN Ind,2.818,2.5878057086866093,3.219,2.63701205882925,4.051,2.63701205882925
BS+NN Seq,2.298,1.5768060461381566,2.826,1.6993433551535084,3.408,1.6993433551535084
Heston+NN Ind,2.789,1.8047174463845064,2.867,1.8428842984203466,3.519,1.8428842984203466
Heston+NN Seq,2.233,1.2545751321552125,2.366,1.3210822025601607,2.927,1.3210822025601607
Pure NN Seq,2.213,1.623078964459926,2.345,1.7311959996016983,2.901,2.21220878028536
HestonFeat Seq,,0.8511550816458813,,0.9220674237931477,,1.6994781563730486
