framework,ITM,ATM,OTM,Overall
HestonFeature Seq,1.7629614698574112,0.8701588368605248,1.2381226268119756,1.2904143111766373
Heston+NN Seq,1.8154496522053665,0.8558992772536312,1.403357711265637,1.3582355469082117
Heston+NN Indep,2.457688063726785,0.9611185415444042,1.4711416816471117,1.6299827623061003
BS+NN Seq,2.041027054347633,1.0610417732970423,1.952323765073101,1.6847975309059253
Pure NN Seq,2.0928085589348657,1.227039004222695,2.053116735190564,1.7909880994493748
BS+NN Indep,3.175350027356199,1.7077003240222657,2.460230288211681,2.4477602131967156
