cp_flag,m_min,m_max,m_p05,m_p95,tau_min_days,tau_max_days,tau_p05_days,tau_p95_days
C,0.8062088106469003,1.584354535914179,0.8813568107947555,1.4658628091136428,22.999999999999968,913.0,22.999999999999968,910.5
P,0.8035330188679245,1.577625,0.8462979797979798,1.411340909090909,22.999999999999968,913.0,22.999999999999968,865.0
