q_lo,q_hi,n_grid_points,moneyness_min,moneyness_max,tau_days_min,tau_days_max,median_extrap_all,p90_extrap_all,median_extrap_C,median_extrap_P,p90_extrap_C,p90_extrap_P
0.02,0.98,391,0.824,1.525651515151515,20.99999999999998,977.0000000000001,0.19948849104859334,0.2948849104859335,0.21994884910485935,0.1841432225063938,0.2946291560102302,0.2925831202046037
0.05,0.95,391,0.8538349514563107,1.4346290322580646,22.999999999999968,809.0,0.11381074168797956,0.21994884910485935,0.13810741687979544,0.09718670076726343,0.21074168797953968,0.22557544757033252
0.1,0.9,391,0.89039336492891,1.32287,25.0,623.0,0.04603580562659848,0.11764705882352944,0.06393861892583119,0.023017902813299185,0.12327365728900261,0.10997442455242967
0.15,0.85,391,0.91663687150838,1.2471637931034485,30.0,472.0,0.007672634271099765,0.07237851662404098,0.02813299232736577,0.002557544757033292,0.07672634271099743,0.04603580562659848
0.2,0.8,391,0.9381044776119404,1.1965922330097087,31.99999999999999,311.0,0.0,0.03324808184143224,0.002557544757033292,0.0,0.03631713554987213,0.012787723785166238
