config,final_train_mse,final_test_mse
"kernel=9 (Job 48), w0504",0.04812961939639137,0.048480326985677086
"kernel=3 (Job 44), w0504",0.05011935888090588,0.05023586794704861
"kernel=9 (Job 48), w0252",0.056086226515997026,0.05654804828559028
"kernel=3 (Job 44), w0252",0.05756361881510417,0.05767305183919271
