approach,window,kappa,theta,xi,rho,v0,mean_VE
init-1,w0400,0.024189348820357504,0.334881156696458,0.06138488684037602,0.027549281069227938,0.5233153879087953,0.19426401226704296
init-1,w2000,0.031588747533636385,0.4930296234454421,0.04048477504154879,0.01211815625922752,0.27225922834691074,0.1698961061253531
init-100,w0400,0.0003016753750738621,0.05647011500373389,0.003566210804383352,0.002756117527375923,0.11217058938914493,0.03505294161994239
init-100,w2000,-0.0009613433605397681,0.1303890462215983,0.001420090012360098,-0.00018677976280301323,0.00351598851055257,0.02683540032423364
log-returns,w0400,0.058153682633019566,0.46769280258000745,0.16405205113285615,0.057160745067889596,0.7999503071638354,0.3094019177155216
log-returns,w2000,-0.05293409413799188,0.6942455290852543,-0.06949049021477505,-0.0033880663121665933,0.7402462205293683,0.2617358197899378
