init,window,kappa_VE_delta,theta_VE_delta,xi_VE_delta,rho_VE_delta,v0_VE_delta
init-100,w0252,-0.007476960619445916,-0.01688469790783753,-0.018659383487769077,-0.008370662634247905,-0.046375922094909816
init-100,w0504,-0.011594642048340487,-0.09633318902724852,-0.02023030741016718,-0.0071517757863748255,-0.20624861709245468
init-1,w0252,-0.005392418511686259,-0.02282075834962871,-0.011358236558947854,0.004458127498017328,-0.0899251741119933
init-1,w0504,-0.011702604693670682,-0.03622239054141829,-0.005838671571226084,-0.008233716318240325,-0.17631261751921468
