window,kappa_VE,theta_VE,xi_VE,rho_VE,v0_VE,mean_VE
252 days (Job 44),0.057509541760240035,0.37231843953353405,0.21859964616017546,0.13210198797885098,0.7590874082215844,0.307923404730877
504 days (Job 44),0.09186767176739274,0.5158375104207711,0.3796347929777115,0.23990621198771878,0.7586018359165203,0.39716960461402284
1008 days (Job 47),0.18518718012417446,0.666206161187649,0.6226816937722619,0.3598602720215496,0.780338875163571,0.5228548364538412
