version,init,window,kappa_rmse,theta_rmse,xi_rmse,rho_rmse,v0_rmse
"v1 (avg-pool, 6 layers)",init-1,w0252,0.5605028867721558,0.11435339599847794,0.1275898665189743,0.2554861307144165,0.06376048922538757
"v2 (avg+max, 9 layers)",init-1,w0252,0.5621040463447571,0.11641362309455872,0.12851382791996002,0.2548291087150574,0.07471872121095657
"v1 (avg-pool, 6 layers)",init-1,w0504,0.5501915812492371,0.10043265670537949,0.11368498206138611,0.2390928417444229,0.06382471323013306
"v2 (avg+max, 9 layers)",init-1,w0504,0.5537252426147461,0.10412181168794632,0.11421871185302734,0.24038434028625488,0.08395754545927048
"v1 (avg-pool, 6 layers)",init-100,w0252,0.5628086924552917,0.11662253737449646,0.13107874989509583,0.2553713321685791,0.07816166430711746
"v2 (avg+max, 9 layers)",init-100,w0252,0.5650185346603394,0.11812104284763336,0.13255329430103302,0.2566009759902954,0.08301710337400436
"v1 (avg-pool, 6 layers)",init-100,w0504,0.5543970465660095,0.10368184000253677,0.12252933531999588,0.2377060204744339,0.07402188330888748
"v2 (avg+max, 9 layers)",init-100,w0504,0.5578718185424805,0.1129462942481041,0.12423728406429291,0.23883472383022308,0.0946556106209755
