kernel,window,kappa_VE,theta_VE,xi_VE,rho_VE,v0_VE,mean_VE
kernel=3 (Job 44),w0252,0.057509541760240035,0.37231843953353405,0.21859964616017546,0.13210198797885098,0.7590874082215844,0.307923404730877
kernel=9 (Job 48),w0252,0.05902594791378157,0.37781227040120524,0.24871932480077796,0.13673157014097237,0.7848281807129849,0.3214234587939444
kernel=3 (Job 44),w0504,0.09186767176739274,0.5158375104207711,0.3796347929777115,0.23990621198771878,0.7586018359165203,0.39716960461402284
kernel=9 (Job 48),w0504,0.10228323678876461,0.5260404366732594,0.44802936304750773,0.2618132944351865,0.7530139731755076,0.4182360608240452
