framework,final_train_mse,final_test_mse
"v1 (avg-pool, 6 layers), init-1, w0504",0.05011935888090588,0.05023586794704861
"v1 (avg-pool, 6 layers), init-100, w0504",0.0538132025844029,0.053911782687717014
"v2 (avg+max, 9 layers), init-1, w0504",0.054017687029157366,0.05420769803873698
"v1 (avg-pool, 6 layers), init-1, w0252",0.05756361881510417,0.05767305183919271
"v2 (avg+max, 9 layers), init-100, w0504",0.05944814880952381,0.059604426093207465
"v2 (avg+max, 9 layers), init-1, w0252",0.059597894880022324,0.05975702548556858
"v1 (avg-pool, 6 layers), init-100, w0252",0.06085715399460565,0.06094943511284722
"v2 (avg+max, 9 layers), init-100, w0252",0.062456684785388766,0.06257889626736111
