version,init,window,kappa_VE,theta_VE,xi_VE,rho_VE,v0_VE,mean_VE
"v1 (avg-pool, 6 layers)",init-1,w0252,0.057509541760240035,0.37231843953353405,0.21859964616017546,0.13210198797885098,0.7590874082215844,0.307923404730877
"v2 (avg+max, 9 layers)",init-1,w0252,0.052117123248553776,0.34949768118390534,0.2072414096012276,0.1365601154768683,0.6691622341095911,0.28291571272402927
"v1 (avg-pool, 6 layers)",init-1,w0504,0.09186767176739274,0.5158375104207711,0.3796347929777115,0.23990621198771878,0.7586018359165203,0.39716960461402284
"v2 (avg+max, 9 layers)",init-1,w0504,0.08016506707372206,0.4796151198793528,0.37379612140648544,0.23167249566947845,0.5822892183973056,0.34950760448526885
"v1 (avg-pool, 6 layers)",init-100,w0252,0.04973912709029482,0.3471608212640407,0.1752813436450682,0.1328817645178314,0.6379706211994951,0.268606735543346
"v2 (avg+max, 9 layers)",init-100,w0252,0.042262166470848905,0.33027612335620316,0.15662196015729912,0.1245111018835835,0.5915946991045853,0.249053210194504
"v1 (avg-pool, 6 layers)",init-100,w0504,0.07793174427665794,0.48400365057704164,0.2793549753299206,0.24869825369805665,0.6753043431943968,0.3530585934152147
"v2 (avg+max, 9 layers)",init-100,w0504,0.06633710222831746,0.3876704615497931,0.2591246679197534,0.24154647791168182,0.4690557261019421,0.28474688714229757
