kernel,window,kappa_rmse,theta_rmse,xi_rmse,rho_rmse,v0_rmse
kernel=3 (Job 44),w0252,0.5605028867721558,0.11435339599847794,0.1275898665189743,0.2554861307144165,0.06376048922538757
kernel=9 (Job 48),w0252,0.5600517988204956,0.11385185271501541,0.12510667741298676,0.2548038065433502,0.06025798246264458
kernel=3 (Job 44),w0504,0.5501915812492371,0.10043265670537949,0.11368498206138611,0.2390928417444229,0.06382471323013306
kernel=9 (Job 48),w0504,0.5470273494720459,0.09936879575252533,0.10723520070314407,0.23562213778495789,0.06455919146537781
