window,kappa_rmse,theta_rmse,xi_rmse,rho_rmse,v0_rmse
252 days (Job 44),0.5605028867721558,0.11435339599847794,0.1275898665189743,0.2554861307144165,0.06376048922538757
504 days (Job 44),0.5501915812492371,0.10043265670537949,0.11368498206138611,0.2390928417444229,0.06382471323013306
1008 days (Job 47),0.5211566686630249,0.08339087665081024,0.08866114169359207,0.2194170504808426,0.06088334321975708
