window,kappa_VE_delta,theta_VE_delta,xi_VE_delta,rho_VE_delta,v0_VE_delta
w0252,0.0015164061535415385,0.00549383086767119,0.0301196786406025,0.004629582162121393,0.0257407724914005
w0504,0.010415565021371864,0.010202926252488309,0.06839457006979621,0.02190708244746775,-0.00558786274101275
