window,kappa_VE_delta_9v3,kappa_VE_delta_15v9,theta_VE_delta_9v3,theta_VE_delta_15v9,xi_VE_delta_9v3,xi_VE_delta_15v9,rho_VE_delta_9v3,rho_VE_delta_15v9,v0_VE_delta_9v3,v0_VE_delta_15v9
w0252,0.0015164061535415385,7.210430908455301e-06,0.00549383086767119,0.0017277883415828255,0.0301196786406025,0.014200540525962313,0.004629582162121393,0.00020273478169374748,0.0257407724914005,0.030842834677865527
w0504,0.010415565021371864,0.0040155460717309355,0.010202926252488309,0.025657918669908186,0.06839457006979621,0.061235642661607526,0.02190708244746775,0.005325434792817996,-0.00558786274101275,0.07386137783282976
